pleiades_uri,wikidata_uri,wikidata_label,wikidata_description,wikidata_coordinates,chronique_id,dare_id,geonames_id,gettytgn_id,idaigaz_id,loc_id,manto_id,nomisma_id,topostext_id,trismegistos_id,viaf_id,vici_id,wikipedia_en
https://pleiades.stoa.org/places/236425,http://www.wikidata.org/entity/Q2524965,Centum Cellas,"building in Castelo Branco District, Portugal",Point(-7.34273 40.377665),,22512,,,,,,,,,,,https://en.wikipedia.org/wiki/Centum_Cellas
https://pleiades.stoa.org/places/236429,http://www.wikidata.org/entity/Q3394469,Cileni,ancient people of Iberia,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Cileni
https://pleiades.stoa.org/places/236436,http://www.wikidata.org/entity/Q3326484,Coelerni,ancient Celtic tribe,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Coelerni
https://pleiades.stoa.org/places/236438,http://www.wikidata.org/entity/Q41680726,Cohors IV Gallorum equitata,Roman auxiliary cohort based in Britannia,Point(-5.979006 42.196092),,,,,,,,,,,,,https://en.wikipedia.org/wiki/Cohors_IV_Gallorum_equitata
https://pleiades.stoa.org/places/236455,http://www.wikidata.org/entity/Q14299,Douro,river in Spain and Portugal,Point(-8.66 41.14),,,,7010409,,n94062883,,,411-86WDur,,150251569,,https://en.wikipedia.org/wiki/Douro
https://pleiades.stoa.org/places/236466,http://www.wikidata.org/entity/Q66815298,Estação arqueológica do Alto da Fonte do Milho,"cultural heritage monument in Peso da Régua, Portugal",Point(-7.701781944 41.167765),,,,,,,,,,,,,
https://pleiades.stoa.org/places/236469,http://www.wikidata.org/entity/Q8964023,Gigurri,ancient people of Iberia,,,,,,,,,,,,,,
https://pleiades.stoa.org/places/236477,http://www.wikidata.org/entity/Q3327263,Grovii,ancient Gallaecian tribe,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Grovii
https://pleiades.stoa.org/places/236479,http://www.wikidata.org/entity/Q5893680,Heleni,"ancient people of Gallaecia, Spain",,,,,,,,,,,,,,
https://pleiades.stoa.org/places/236480,http://www.wikidata.org/entity/Q738004,Serra da Estrela,highest mountain range in Continental Portugal,Point(-7.61291667 40.32188889),,41586,2739807,,,,,,403-76LHer,,243479146,,https://en.wikipedia.org/wiki/Serra_da_Estrela
https://pleiades.stoa.org/places/236483,http://www.wikidata.org/entity/Q5980336,Iadovi,"ancient Gallaecian Celtic tribe, living in the north of modern Galicia",,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Iadovi
https://pleiades.stoa.org/places/236490,http://www.wikidata.org/entity/Q5918872,Q5918872,"human settlement in Valladolid Province, Castile and León, Spain",Point(-5.405021 41.98634),,25258,,,,,,,420000UInt,,,,
https://pleiades.stoa.org/places/236493,http://www.wikidata.org/entity/Q3189896,Juliobriga,former urban centre in Roman Cantabria,Point(-4.1123 42.9866),,22231,,,,,,,430000UIul,26741,,,https://en.wikipedia.org/wiki/Juliobriga
https://pleiades.stoa.org/places/236499,http://www.wikidata.org/entity/Q8349854,Q8349854,,,,,,,,,,,,,,,
https://pleiades.stoa.org/places/236502,http://www.wikidata.org/entity/Q14553,Lérez River,"river in Pontevedra, Spain",Point(-8.643056 42.43525),,,3118517,,,,,,,,,,https://en.wikipedia.org/wiki/L%C3%A9rez
https://pleiades.stoa.org/places/236505,http://www.wikidata.org/entity/Q13077238,Roman Lancia,"archaeological site in Villasabariego and Mansilla Mayor, Spain",Point(-5.431111111 42.53),,25259,,,,,,,425000ULan,,,,
https://pleiades.stoa.org/places/236514,http://www.wikidata.org/entity/Q6521037,Lemavi,ancient people of Iberia,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Lemavi
https://pleiades.stoa.org/places/236515,http://www.wikidata.org/entity/Q9021994,Leuni,ancient Celtic tribe of Gallaecia,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Leuni
https://pleiades.stoa.org/places/236518,http://www.wikidata.org/entity/Q14558,Lima River,"river that runs west from Galicia, Spain, and through the north of Portugal, towards the Atlantic Ocean",Point(-8.83713 41.68163),,,2738300,,,,,,417-88WLim,,315145198,,https://en.wikipedia.org/wiki/Lima_River
https://pleiades.stoa.org/places/236519,http://www.wikidata.org/entity/Q2469614,Limici,ancient people of Iberia,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Limici
https://pleiades.stoa.org/places/236525,http://www.wikidata.org/entity/Q21095150,Lucus Augusti,ancient Roman city in Spain,Point(-7.557917097 43.011258452),,13697,,,,,,,430000ULuc,,,,
https://pleiades.stoa.org/places/236528,http://www.wikidata.org/entity/Q837549,Lusitanians,ancient Celtic people,,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Lusitanians
https://pleiades.stoa.org/places/236536,http://www.wikidata.org/entity/Q696803,Las Médulas,"cultural property in Borrenes y Carucedo, Spain",Point(-6.759002 42.458699),,22234,3118898,,,,,,,,234339764,,https://en.wikipedia.org/wiki/Las_M%C3%A9dulas
https://pleiades.stoa.org/places/236538,http://www.wikidata.org/entity/Q1454978,Freguesia de Freixo de Numão,civil parish in Vila Nova de Foz Côa,Point(-7.216666666 41.066666666),,22509,"8014431,2739221",,,nb2006005804,,,411000UMei,,144502361,,https://en.wikipedia.org/wiki/Freixo_de_Num%C3%A3o
https://pleiades.stoa.org/places/236539,http://www.wikidata.org/entity/Q1024353,Meimoa,civil parish in Penamacor,Point(-7.186388888 40.228333333),,,8011734,,,,,,,,,,
https://pleiades.stoa.org/places/236547,http://www.wikidata.org/entity/Q837781,Miudes,"parish (parroquia) in El Franco, Asturias, Spain",Point(-6.807875 43.530766666),,,3116663,7301968,,,,,,,,,https://en.wikipedia.org/wiki/Miudes
https://pleiades.stoa.org/places/236562,http://www.wikidata.org/entity/Q10362304,Neiva river,river in Portugal,Point(-8.80772 41.611582),,,,,,,,,,,128391421,,
https://pleiades.stoa.org/places/236565,http://www.wikidata.org/entity/Q98302792,Nemetobriga,"A town of Gallaecia, Hispania Tarraconensis, the main one of the tribe of the Tibures",Point(-7.252762 42.339839),,,,,,,,,423-73UNem,,,,
https://pleiades.stoa.org/places/236579,http://www.wikidata.org/entity/Q4012812,La Olmeda,"Ancient Roman villa in Pedrosa de la Vega, Spain",Point(-4.73638889 42.48166667),,22530,7870728,,,,,,,,,,https://en.wikipedia.org/wiki/La_Olmeda
https://pleiades.stoa.org/places/236580,http://www.wikidata.org/entity/Q519749,Las Omañas,municipality of Spain,Point(-5.869444444 42.683055555),,,6358646,7305315,,,,,,,6030166928409743980000,,https://en.wikipedia.org/wiki/Las_Oma%C3%B1as
https://pleiades.stoa.org/places/236592,http://www.wikidata.org/entity/Q8378,Palencia,"municipality and capital city of the province of Palencia, Castile and León, Spain",Point(-4.533333333 42.016666666),,18367,6360072,,,n79043240,,,420000UPal,,127827677,,https://en.wikipedia.org/wiki/Palencia
https://pleiades.stoa.org/places/236595,http://www.wikidata.org/entity/Q44852,Páramo del Sil,municipality of Spain,Point(-6.488055555 42.82),,,6358652,,,n93124515,,,,,133845382,,https://en.wikipedia.org/wiki/P%C3%A1ramo_del_Sil
https://pleiades.stoa.org/places/236601,http://www.wikidata.org/entity/Q3814961,Pintia,"cultural property in Peñafiel, Spain",Point(-4.17 41.617777777),,18415,,,,,,,,27012,,,https://en.wikipedia.org/wiki/Pintia
https://pleiades.stoa.org/places/236610,http://www.wikidata.org/entity/Q1615223,Suances,municipality of Spain,Point(-4.043611111 43.428333333),,,6360729,,,n84222475,,,,,154826772,,https://en.wikipedia.org/wiki/Suances
https://pleiades.stoa.org/places/236620,http://www.wikidata.org/entity/Q920774,A Pobra do Brollón,"municipality in Lugo, Galicia, Spain",Point(-7.391944 42.557056),,,6359206,,,,,,,,316734440,,https://en.wikipedia.org/wiki/A_Pobra_do_Broll%C3%B3n
https://pleiades.stoa.org/places/236632,http://www.wikidata.org/entity/Q9071196,Ruiseñada,"locality in Comillas, Spain",Point(-4.289444444 43.365277777),,,,,,,,,,,,,
https://pleiades.stoa.org/places/236639,http://www.wikidata.org/entity/Q14513,Sella,river in Spain,Point(-5.038027777 43.137833333),,,3109204,,,,,,433-51WSal,,,,https://en.wikipedia.org/wiki/Sella_River_(Bay_of_Biscay)
https://pleiades.stoa.org/places/236642,http://www.wikidata.org/entity/Q15695,Salamanca,"city in Castile and León, Spain",Point(-5.664166666 40.965),,16865,6360513,,,n79056177,,,410000USal,,157093141,,https://en.wikipedia.org/wiki/Salamanca
https://pleiades.stoa.org/places/236648,http://www.wikidata.org/entity/Q959612,San Martín de la Vega,municipality of Spain,Point(-3.572222222 40.209444444),,,6359353,,,n2010020814,,,,,132764005,,https://en.wikipedia.org/wiki/San_Mart%C3%ADn_de_la_Vega
https://pleiades.stoa.org/places/236656,http://www.wikidata.org/entity/Q1628353,Sasamón,municipality of Spain,Point(-4.0416749 42.4180903),,18411,6356603,,,n87904419,,,,,149021859,,https://en.wikipedia.org/wiki/Sasam%C3%B3n
https://pleiades.stoa.org/places/236658,http://www.wikidata.org/entity/Q15684,Segovia,"Spanish municipality, in Castilla y León, capital of the province of the same name",Point(-4.118333333 40.948055555),,,6360915,,,n80038181,,,410-41USeg,,123150783,,https://en.wikipedia.org/wiki/Segovia
