pleiades	item	itemLabel	itemDescription	coordinates	chronique_ids	dare_ids	geonames_ids	gettytgn_ids	idaigaz_ids	loc_ids	manto_ids	nomisma_ids	topostext_ids	trismegistos_ids	viaf_ids	vici_ids	wikipedia_en
114795	http://www.wikidata.org/entity/Q3432953	Riobé		Point(3.11167 48.58806)		19988											
114800	http://www.wikidata.org/entity/Q673209	Vellaunodunum	Gallic oppidum of the Senones tribe	Point(2.5 48.5)		20437											https://en.wikipedia.org/wiki/Vellaunodunum
114801	http://www.wikidata.org/entity/Q13427006	Battle of Vicus Helena	battle between Romans and Franks														https://en.wikipedia.org/wiki/Battle_of_Vicus_Helena
114815757	http://www.wikidata.org/entity/Q3538803	Pomptina	one of the 35 Roman voting tribes											6829			
115691576	http://www.wikidata.org/entity/Q2671839	Catacombs of Kom el Shoqafa	archaeological site in Egypt	Point(29.904722 31.186944)												21604	https://en.wikipedia.org/wiki/Catacombs_of_Kom_El_Shoqafa
116548159	http://www.wikidata.org/entity/Q3852984	Carmine Roman tomb	archaeological site in Italy	Point(15.08924 37.50977)													
116722325	http://www.wikidata.org/entity/Q3804151	Italia Suburbicaria	vicariate of the Roman Empire														https://en.wikipedia.org/wiki/Italia_suburbicaria
116850368	http://www.wikidata.org/entity/Q8053378	Yeşilova Mound	archaeological site in İzmir, Turkey	Point(27.214722222 38.441388888)													https://en.wikipedia.org/wiki/Ye%C5%9Filova_H%C3%B6y%C3%BCk
116905947	http://www.wikidata.org/entity/Q30889215	Via Pescara columbaria		Point(12.52252778 41.88247222)													
11729536	http://www.wikidata.org/entity/Q28749518	Tholos tomb of Platyskinos	archaeological site	Point(26.072944 35.161028)									352261XPla				
117689032	http://www.wikidata.org/entity/Q856590	Library of Pergamum	Anatolian library, c. 300 BC-100 AD	Point(27.1842 39.1325)						no2008090498					151660091		https://en.wikipedia.org/wiki/Library_of_Pergamum
117737330	http://www.wikidata.org/entity/Q27070603	Inn of the Gladiators		Point(14.4928425 40.7501995)													
118337619	http://www.wikidata.org/entity/Q384813	Temple of Athena Nike	ancient Greek temple built in the fifth century CE on the Acropolis of Athens in honor of Athena as the goddess of victory, located in Athens Municipality, Greece	Point(23.7249 37.9715)		25117	8354436						380237SANi		316594191	26310	https://en.wikipedia.org/wiki/Temple_of_Athena_Nike
118537	http://www.wikidata.org/entity/Q3951	Aalen	former Free Imperial City located in the eastern part of the German state of Baden-Württemberg	Point(10.093611111 48.837222222)			2959927		2045956	n82156259				20052	133719470		https://en.wikipedia.org/wiki/Aalen
118539	http://www.wikidata.org/entity/Q1735352	Castra Abusina	Roman fort	Point(11.7708 48.8503)		1929	8504482								253148876440749740003		https://en.wikipedia.org/wiki/Abusina
118539	http://www.wikidata.org/entity/Q1735352	Castra Abusina	Roman fort	Point(11.77089 48.85011)		1929	8504482								253148876440749740003		https://en.wikipedia.org/wiki/Abusina
118540	http://www.wikidata.org/entity/Q253574	Acholshausen	human settlement	Point(9.99806 49.6453)											153678489		
118541	http://www.wikidata.org/entity/Q1735433	Castra Ad Iuvense	Roman fort	Point(14.7167 48.1667)		10782										7288	
118542	http://www.wikidata.org/entity/Q1735430	Castra Ad Lunam	Roman fort	Point(9.90069 48.55)		1972								35290		8442	
118543	http://www.wikidata.org/entity/Q1295789	Castra of Eferding	Roman castrum in Austria	Point(14.0333 48.3167)		10778	2780394									7289	
118543	http://www.wikidata.org/entity/Q1295789	Castra of Eferding	Roman castrum in Austria	Point(14.033333 48.316667)		10778	2780394									7289	
118547	http://www.wikidata.org/entity/Q14369	Inn	river in Switzerland, Austria and Germany, a right tributary of the Danube	Point(13.478055555 48.573611111)		43975	2775280			sh89006039					235899524		https://en.wikipedia.org/wiki/Inn_(river)
118547	http://www.wikidata.org/entity/Q14369	Inn	river in Switzerland, Austria and Germany, a right tributary of the Danube	Point(9.666666666 46.413888888)		43975	2775280			sh89006039					235899524		https://en.wikipedia.org/wiki/Inn_(river)
118548	http://www.wikidata.org/entity/Q396547	Agri Decumates	Region of the Roman Empire	Point(8.3 48.2)													https://en.wikipedia.org/wiki/Agri_Decumates
118549	http://www.wikidata.org/entity/Q103138671	Aislingen (Samian Ware Discovery Site)	Aislingen as Samian Ware discovery site	Point(10.45778 48.50648)													
118549	http://www.wikidata.org/entity/Q384382	Aislingen	market municipality of Germany	Point(10.45 48.5)			6558755	1038135		nb2010002840					144513454		https://en.wikipedia.org/wiki/Aislingen
118550	http://www.wikidata.org/entity/Q132990	Alamanni	Germanic people														https://en.wikipedia.org/wiki/Alemanni
118554	http://www.wikidata.org/entity/Q317060	Altmühl	river in Bavaria, Germany	Point(10.305833333 49.430833333)		43963	2956977			sh85003938					241407380		https://en.wikipedia.org/wiki/Altm%C3%BChl
118554	http://www.wikidata.org/entity/Q317060	Altmühl	river in Bavaria, Germany	Point(11.905833333 48.91)		43963	2956977			sh85003938					241407380		https://en.wikipedia.org/wiki/Altm%C3%BChl
118556	http://www.wikidata.org/entity/Q1462510	Alitzheim	human settlement	Point(10.3292 49.9361)		1248									241525370		
118559	http://www.wikidata.org/entity/Q103140868	Altenstadt (Samian Ware Discovery Site)	Altenstadt as Samian Ware discovery site	Point(8.941192 50.285161)													
118564	http://www.wikidata.org/entity/Q373902	Amöneburg	town in Landkreis Marburg-Biedenkopf in Hesse, Germany	Point(8.923055555 50.797777777)			6557792			n85339084					157181301		https://en.wikipedia.org/wiki/Am%C3%B6neburg
118565	http://www.wikidata.org/entity/Q217524	Enns	river in Austria	Point(14.5203 48.2369)		43978	2780047								315140243		https://en.wikipedia.org/wiki/Enns_(river)
118565	http://www.wikidata.org/entity/Q217524	Enns	river in Austria	Point(13.352777777 47.326111111)		43978	2780047								315140243		https://en.wikipedia.org/wiki/Enns_(river)
118569	http://www.wikidata.org/entity/Q103163525	Heidenheim (Samian Ware Discovery Site)	Heidenheim as Samian Ware discovery site	Point(10.154444 48.676111)													
118571	http://www.wikidata.org/entity/Q2654485	Castra Arelape	Roman fort	Point(15.2 48.2)		10780										13409	
118572	http://www.wikidata.org/entity/Q103192110	Rottweil (Samian Ware Discovery Site)	Rottweil as Samian Ware discovery site	Point(8.62719 48.16783)													
118572	http://www.wikidata.org/entity/Q624910	Q624910	archaeological site	Point(8.624722 48.168056)		1529											
118574	http://www.wikidata.org/entity/Q832449	Erms	river in Germany	Point(9.2364 48.593)		43967	2929380								234159429		https://en.wikipedia.org/wiki/Erms
118574	http://www.wikidata.org/entity/Q832449	Erms	river in Germany	Point(9.468492 48.442268)		43967	2929380								234159429		https://en.wikipedia.org/wiki/Erms
118575	http://www.wikidata.org/entity/Q1519355	Castra of Arnsburg	Roman fort	Point(8.78418 50.4877)		2160	8504436									4415	
118575	http://www.wikidata.org/entity/Q1519355	Castra of Arnsburg	Roman fort	Point(8.78444 50.4872)		2160	8504436									4415	
118577	http://www.wikidata.org/entity/Q2739875	Castra of Zwentendorf	Roman fort	Point(15.890630555 48.346261111)		10805										13413	
118578	http://www.wikidata.org/entity/Q558842	Aubstadt	municipality of Germany	Point(10.433333333 50.333333333)			6556971			n95094004					123316186		https://en.wikipedia.org/wiki/Aubstadt
118580	http://www.wikidata.org/entity/Q765823	Augusta Vindelicorum	ancient predecessor of Augsburg	Point(10.8915 48.374)		10							484109UAug	19899			
118581	http://www.wikidata.org/entity/Q11959641	Augustiana	building in Denmark	Point(9.86152 54.94505)													
118584	http://www.wikidata.org/entity/Q177280	Bad Abbach	market municipality in the district Kelheim, Bavaria, Germany	Point(12.05 48.933333333)			6558836	1038306		no00035148				28098	241444333,142165190		https://en.wikipedia.org/wiki/Bad_Abbach
118586	http://www.wikidata.org/entity/Q798699	Bad Gögging	human settlement in Germany	Point(11.7806 48.8264)		17667	2953454			n81125170					145079398		
118587	http://www.wikidata.org/entity/Q571926	Bad Königshofen im Grabfeld	urban municipality in Bavaria, Germany	Point(10.466666666 50.299166666)		1281	6558999			n94072740					168772010		https://en.wikipedia.org/wiki/Bad_K%C3%B6nigshofen
118588	http://www.wikidata.org/entity/Q16105	Bad Nauheim	town in Wetteraukreis in Hesse, Germany	Point(8.75 50.366666666)			6557766			n82059470					125509707		https://en.wikipedia.org/wiki/Bad_Nauheim
118589	http://www.wikidata.org/entity/Q274688	Baldersheim	commune in Haut-Rhin, France	Point(7.380277777 47.800277777)			6450640										https://en.wikipedia.org/wiki/Baldersheim
118590	http://www.wikidata.org/entity/Q445531	Altstadt (Passau)	quarter of Passau, Germany	Point(13.4667 48.575)													
118590	http://www.wikidata.org/entity/Q4190	Passau	town in Lower Bavaria, Germany	Point(13.4609744 48.5748229)			6556451	7004407	2047847	n80040815				28201	129000588		https://en.wikipedia.org/wiki/Passau
118591	http://www.wikidata.org/entity/Q14835	Bautzen	town in Saxony, Germany	Point(14.423888888 51.181388888)			6550794			n50012466					157073168		https://en.wikipedia.org/wiki/Bautzen
118594	http://www.wikidata.org/entity/Q61653	Benningen am Neckar	municipality in Germany	Point(9.2425 48.945)			6555475	7209744	2045774	n89121372				27836	158395017		https://en.wikipedia.org/wiki/Benningen_am_Neckar
118595	http://www.wikidata.org/entity/Q248062	Berching	city in Upper Palatinate, Germany	Point(11.439444444 49.106388888)			6558265			n89119186					132645009		https://en.wikipedia.org/wiki/Berching
118596	http://www.wikidata.org/entity/Q255903	Bergtheim	municipality of Germany	Point(10.066666666 49.9)			6557076								239058568		https://en.wikipedia.org/wiki/Bergtheim
118597	http://www.wikidata.org/entity/Q512905	Biebelried	municipality of Germany	Point(10.083333333 49.766666666)			6557009								235545217		https://en.wikipedia.org/wiki/Biebelried
118598	http://www.wikidata.org/entity/Q631600	Bilzingsleben	locality in Kindelbrück, Germany	Point(11.068611111 51.281111111)			6550118								243407964		https://en.wikipedia.org/wiki/Bilzingsleben
118600	http://www.wikidata.org/entity/Q638525	Weißenburg Roman Fort	was built in about 90	Point(10.9625 49.0308)		4608	8504474			sh95002819				3324	249386646	4432	https://en.wikipedia.org/wiki/Biriciana
118601	http://www.wikidata.org/entity/Q103198477	Unterböbingen (Samian Ware Discovery Site)	Unterböbingen as Samian Ware discovery site	Point(9.916667 48.816667)													
118603	http://www.wikidata.org/entity/Q1019728	Böhming	human settlement in Germany	Point(11.3647 48.9447)			2946933							28116	238749560		
118603	http://www.wikidata.org/entity/Q1735341	Castra of Böhming	Roman fort	Point(11.360833 48.946111)		17662	8504479									4436	
118605	http://www.wikidata.org/entity/Q157676	Boii	Celtic tribe											20707			https://en.wikipedia.org/wiki/Boii
118606	http://www.wikidata.org/entity/Q2739859	Castrum Boiodurum	Roman fort	Point(13.4622 48.5697)		10955								41062	235096881	7295	
118608	http://www.wikidata.org/entity/Q893997	Bornitz	human settlement in Germany	Point(13.1806 51.3044)			2946082										
118609	http://www.wikidata.org/entity/Q74057	Gauting	municipality of Germany	Point(11.373888888 48.067777777)		1958	6556387			n85082699					127904222		https://en.wikipedia.org/wiki/Gauting
118610	http://www.wikidata.org/entity/Q131128	Braunau am Inn	town in Braunau District, Upper Austria, Austria	Point(13.033333333 48.258333333)		17937,42759	7871966			n82101889					143090962		https://en.wikipedia.org/wiki/Braunau_am_Inn
118617	http://www.wikidata.org/entity/Q150412	Burgundians	historical ethnical group	Point(9.5 49.5)													https://en.wikipedia.org/wiki/Burgundians
118618	http://www.wikidata.org/entity/Q103157921	Burladingen (Samian Ware Discovery Site)	Burladingen as Samian Ware discovery site	Point(9.116666 48.283332)													
118618	http://www.wikidata.org/entity/Q1735342	Castra of Burladingen	Roman fort	Point(9.08778 48.2922)		18432										9720	
118618	http://www.wikidata.org/entity/Q384264	Burladingen	municipality in Baden-Württemberg, Germany	Point(9.109444444 48.290277777)			6558163			n84065017					145464768		https://en.wikipedia.org/wiki/Burladingen
118622	http://www.wikidata.org/entity/Q1025381	Römerkastell Caelius Mons	archaeological site in Germany	Point(10.128 48.1204)		2190								35221			
118624	http://www.wikidata.org/entity/Q22691538	Calverbühl	hill in Dettingen an der Erms, Germany	Point(9.3433844 48.5225566)													
118628	http://www.wikidata.org/entity/Q103189459	Pförring (Samian Ware Discovery Site)	Pförring as Samian Ware discovery site	Point(11.682227 48.818523)													
118628	http://www.wikidata.org/entity/Q1735406	Castrum Celeusum	Roman fort	Point(11.6824 48.8185)		1928	8504480								2182155769086527880000	4437	
118632	http://www.wikidata.org/entity/Q1678826	Castra Clarenna	Roman fort	Point(9.56958 48.5099)		1977										9722	
118633297	http://www.wikidata.org/entity/Q29887294	Tomb of Caius Vestorius Priscus	tomb in Pompei, Porta Vesuvio necropolis	Point(14.4838129 40.753444)													
118638	http://www.wikidata.org/entity/Q1370136	Castra of Dambach	Roman fort in Germany	Point(10.57876 49.10285)		2181	8504468									4430	
118640	http://www.wikidata.org/entity/Q80461	Deggingen	municipality in Germany	Point(9.719166666 48.596388888)			6555455								233870462		https://en.wikipedia.org/wiki/Deggingen
118641	http://www.wikidata.org/entity/Q487070	Dessau	city, district of Dessau-Roßlau	Point(12.246111111 51.834166666)			2937959	7012804	2044620	n80043512					155934610		https://en.wikipedia.org/wiki/Dessau
118646	http://www.wikidata.org/entity/Q19980306	Dittigheim	quarter of Tauberbischofsheim, Baden-Württemberg, Germany	Point(9.67436 49.61091)			2936726	7195362	2124680						243058831		https://en.wikipedia.org/wiki/Dittigheim
118647	http://www.wikidata.org/entity/Q2197453	Dobřichov	village in Kolín District of Central Bohemian region	Point(15.032436102 50.079691377)			3077035			n00035349					128967862		https://en.wikipedia.org/wiki/Dob%C5%99ichov
118651	http://www.wikidata.org/entity/Q751525	Dřetovice	village in Kladno District of Central Bohemian region	Point(14.210336418 50.182765588)			3076439										https://en.wikipedia.org/wiki/D%C5%99etovice
118652	http://www.wikidata.org/entity/Q1260656	Droužkovice	village in Chomutov District of Ústí nad Labem region	Point(13.429183977 50.430877227)			3076396										https://en.wikipedia.org/wiki/Drou%C5%BEkovice
118656	http://www.wikidata.org/entity/Q320960	Ebingen	quarter of Albstadt, Baden-Württemberg, Germany	Point(9.033333333 48.216666666)			2933851	1038888		n85383128					147263120		https://en.wikipedia.org/wiki/Ebingen
118657	http://www.wikidata.org/entity/Q103161103	Echzell (Samian Ware Discovery Site)	Echzell as Samian Ware discovery site	Point(8.883176 50.393087)													
118657	http://www.wikidata.org/entity/Q567565	Echzell	municipality in Wetteraukreis in Hesse, Germany	Point(8.883333333 50.383333333)			6553206			n82088755				27865	127864685		https://en.wikipedia.org/wiki/Echzell
118659	http://www.wikidata.org/entity/Q661774	Eggenburg	municipality in Horn District, Lower Austria, Austria	Point(15.818611111 48.643055555)		23109	7871774			n92112833					139013705		https://en.wikipedia.org/wiki/Eggenburg
118660	http://www.wikidata.org/entity/Q502812	Eggolsheim	market municipality in Landkreis Forchheim in Germany	Point(11.058055555 49.770833333)			6558605			no2016006242					235111872		https://en.wikipedia.org/wiki/Eggolsheim
118661	http://www.wikidata.org/entity/Q1299978	Ehrenbürg	outlier with double summit in Upper Franconia, Germany	Point(11.15626 49.71687)		15909	2932842								314866655		https://en.wikipedia.org/wiki/Ehrenb%C3%BCrg
118662	http://www.wikidata.org/entity/Q1423442	Castra of Eining	Roman fort	Point(11.7765 48.8596)		16064											
118664	http://www.wikidata.org/entity/Q8315	Elsenz	river of Baden-Württemberg, Germany	Point(8.795833333 49.396111111)		43965	2930733								236898631		https://en.wikipedia.org/wiki/Elsenz
118664	http://www.wikidata.org/entity/Q8315	Elsenz	river of Baden-Württemberg, Germany	Point(8.825833333 49.175555555)		43965	2930733								236898631		https://en.wikipedia.org/wiki/Elsenz
118665	http://www.wikidata.org/entity/Q431175	Emerkingen	municipality in Baden-Württemberg, Germany	Point(9.656111111 48.211666666)			6555972	7188800							123752026		https://en.wikipedia.org/wiki/Emerkingen
118671	http://www.wikidata.org/entity/Q114308	Eulbach	Hamlet in Würzberg, municipal district of Michelstadt in Odenwaldkreis, Germany	Point(9.077022222 49.679780555)					2276396						233824008		
118673	http://www.wikidata.org/entity/Q2739865	Castrum Favianis	Roman fort	Point(15.574830555 48.394361111)		6141							484156UFav				
118678	http://www.wikidata.org/entity/Q547085	Frankenwinheim	municipality of Germany	Point(10.314166666 49.887222222)		1590	6557057								151946782,7241147270478335700008		https://en.wikipedia.org/wiki/Frankenwinheim
118681	http://www.wikidata.org/entity/Q103162324	Friedberg (Samian Ware Discovery Site)	Friedberg as Samian Ware discovery site	Point(8.753502 50.341669)													
118684	http://www.wikidata.org/entity/Q550786	Frittlingen	municipality in Germany	Point(8.705555555 48.127777777)			6555840								235208811		https://en.wikipedia.org/wiki/Frittlingen
118689	http://www.wikidata.org/entity/Q527345	Gaukönigshofen	municipality of Germany	Point(10.0 49.633333333)		1277	6557081			nr89002387					136473470		https://en.wikipedia.org/wiki/Gauk%C3%B6nigshofen
118690	http://www.wikidata.org/entity/Q103162482	Geislingen (Samian Ware Discovery Site)	Geislingen as Samian Ware discovery site	Point(8.81241 48.28768)													
118692	http://www.wikidata.org/entity/Q729042	Gelber Berg	mountain south-east of Sammenheim (Dittenheim), Middle Franconia, Germany	Point(10.7644 49.04023)		15903									246990002		https://en.wikipedia.org/wiki/Gelber_Berg
118693	http://www.wikidata.org/entity/Q558818	Geldersheim	municipality of Germany	Point(10.15 50.05)		1369	6557058								202916701,246103054		https://en.wikipedia.org/wiki/Geldersheim
118694	http://www.wikidata.org/entity/Q3750	Gera	town in Thuringia, Germany	Point(12.08242 50.87818)			2921230	7012815		n83030313					235011362,153640280		https://en.wikipedia.org/wiki/Gera
118697	http://www.wikidata.org/entity/Q103167141	Kösching (Samian Ware Discovery Site)	Kösching as Samian Ware discovery site	Point(11.5 48.816665)													
118697	http://www.wikidata.org/entity/Q1618277	Castra of Kösching	Roman fort	Point(11.4997 48.8108)		1927										9730	
118699	http://www.wikidata.org/entity/Q567950	Gierstädt	municipality of Germany	Point(10.827222222 51.043055555)			6559291								239171122		https://en.wikipedia.org/wiki/Gierst%C3%A4dt
118701	http://www.wikidata.org/entity/Q564771	Glauberg	Celtic oppidum in Hesse, Germany	Point(9.008611 50.305556)		15959	2920030			sh2003000025					237771740		https://en.wikipedia.org/wiki/Glauberg
118703	http://www.wikidata.org/entity/Q643951	Gleichen	municipality in Lower Saxony, Germany	Point(10.038888888 51.461944444)			3207210			n85125136					236341715,130249528		https://en.wikipedia.org/wiki/Gleichen,_Lower_Saxony
118705	http://www.wikidata.org/entity/Q83126	Gomadingen	municipality in Germany	Point(9.391944444 48.400277777)			6555926			no2004023581					145767871		https://en.wikipedia.org/wiki/Gomadingen
118706	http://www.wikidata.org/entity/Q103166415	Köngen (Samian Ware Discovery Site)	Köngen as Samian Ware discovery site	Point(9.366666 48.683334)													
118706	http://www.wikidata.org/entity/Q1735387	Castrum Grinario	Roman fort	Point(9.36007 48.6773)										27924		8161	
118708	http://www.wikidata.org/entity/Q696308	Großbadegast	human settlement in Germany	Point(12.033055555 51.733055555)			2917023								169300547		https://en.wikipedia.org/wiki/Gro%C3%9Fbadegast
118709	http://www.wikidata.org/entity/Q696436	Großbodungen	district of Am Ohmberg	Point(10.480686944 51.474755)			2916949			n2006021135					146389854		https://en.wikipedia.org/wiki/Gro%C3%9Fbodungen
118710	http://www.wikidata.org/entity/Q634120	Großkrotzenburg	municipality in Main-Kinzig-Kreis in Hesse, Germany	Point(8.983333333 50.083333333)			6553187			n85301965					125562863		https://en.wikipedia.org/wiki/Gro%C3%9Fkrotzenburg
118712	http://www.wikidata.org/entity/Q1320495	Großromstedt	human settlement in Germany	Point(11.4928 50.9792)											145120896		
118714	http://www.wikidata.org/entity/Q507819	Gundremmingen	municipality of Germany	Point(10.4 48.5)			6547458			n97058029					144421543		https://en.wikipedia.org/wiki/Gundremmingen
118715	http://www.wikidata.org/entity/Q556420	Günstedt	municipality of Germany	Point(11.079836 51.22128)		11596	6550132								315586813		https://en.wikipedia.org/wiki/G%C3%BCnstedt
118716	http://www.wikidata.org/entity/Q103163091	Günzburg (Samian Ware Discovery Site)	Günzburg as Samian Ware discovery site	Point(10.26667 48.45)													
118717	http://www.wikidata.org/entity/Q503640	Gunzenhausen	German town in Bavaria	Point(10.754166666 49.114722222)			6558368	7012907		n81093630					133702396		https://en.wikipedia.org/wiki/Gunzenhausen
118719	http://www.wikidata.org/entity/Q61771077	Q61771077		Point(13.004522 48.727208)												7298	
118725	http://www.wikidata.org/entity/Q62069250	Römerkastell Halheim	protected landscape area in Baden-Württemberg, Germany	Point(10.2856 48.9832)													
118726	http://www.wikidata.org/entity/Q3802	Hanau	city in Main-Kinzig-Kreis in Hesse, Germany	Point(8.916944444 50.132777777)			6557738	7005295		n81146665					134967927		https://en.wikipedia.org/wiki/Hanau
118731	http://www.wikidata.org/entity/Q1594006	Heidelberg in the Roman period	aspect of history			2210											https://en.wikipedia.org/wiki/Heidelberg_in_the_Roman_period
118734	http://www.wikidata.org/entity/Q715	Heilbronn	German city in the state of Baden-Württemberg	Point(9.217953 49.140428)			3220740		2089777	n80104782				20064	155528717		https://en.wikipedia.org/wiki/Heilbronn
118735	http://www.wikidata.org/entity/Q103163551	Heiligenberg (Samian Ware Discovery Site)	Heiligenberg as Samian Ware discovery site	Point(7.3906 48.5389)													
118736	http://www.wikidata.org/entity/Q504880	Kirchheim bei München	municipality of Germany	Point(11.75563 48.17656)			6559194			n85366445					134945581		https://en.wikipedia.org/wiki/Kirchheim_bei_M%C3%BCnchen
118738	http://www.wikidata.org/entity/Q557055	Henfstädt	municipality in Thuringia, Germany	Point(10.583055555 50.516666666)			6550173								237012190		https://en.wikipedia.org/wiki/Henfst%C3%A4dt
118740	http://www.wikidata.org/entity/Q685693	Hermunduri	Germanic tribe, who occupied an inland area near the Elbe river (first to third centuries AD)														https://en.wikipedia.org/wiki/Hermunduri
118742	http://www.wikidata.org/entity/Q428756	Heuneburg	iron age hillfort in Germany	Point(9.411944444 48.094722222)			2905004		2046206						233671636	40563	https://en.wikipedia.org/wiki/Heuneburg
118743	http://www.wikidata.org/entity/Q538066	Hirschaid	municipality of Germany	Point(10.983333333 49.816666666)			6558599			no2006003274					144611502		https://en.wikipedia.org/wiki/Hirschaid
118744	http://www.wikidata.org/entity/Q1620478	Hirschlanden	quarter of Ditzingen, Baden-Württemberg, Germany	Point(9.03832 48.8374)													
118749	http://www.wikidata.org/entity/Q1625755	Holzthaleben	human settlement in Germany	Point(10.5903 51.3411)													
118751	http://www.wikidata.org/entity/Q1631278	Houbirg	hill in Germany	Point(11.4864 49.4925)		15904	7289240								239086439		
118754	http://www.wikidata.org/entity/Q37292972	Q37292972		Point(14.1209445 49.3047671)													
118755	http://www.wikidata.org/entity/Q517128	Hrazany	village in Písek District of South Bohemian region	Point(14.334914259 49.522914824)			3074874								242757606		https://en.wikipedia.org/wiki/Hrazany
118758	http://www.wikidata.org/entity/Q1214616	Castrum Iciniacum	Roman fort	Point(10.84716 49.08952)		14064	8504472									9728	
118760	http://www.wikidata.org/entity/Q1663516	Inheiden	human settlement in Germany	Point(8.892722222 50.458405555)													
118761	http://www.wikidata.org/entity/Q113988261	Ioviacum	Roman fort and city in Noricum														
118763	http://www.wikidata.org/entity/Q319644	Ipf	mountain near Bopfingen, Ostalbkreis, Baden-Württemberg, Germany	Point(10.356388888 48.870555555)		14061	3208315			sh2016002103					249405385		https://en.wikipedia.org/wiki/Ipf_(mountain)
118769	http://www.wikidata.org/entity/Q1735380	Castra of Jagsthausen	Roman fort	Point(9.46917 49.3109)			8504455									4421	
118771	http://www.wikidata.org/entity/Q164465	Jiřice	village in Pelhřimov District of Vysočina region	Point(15.318374998 49.553274962)			3074129										https://en.wikipedia.org/wiki/Ji%C5%99ice_(Pelh%C5%99imov_District)
118773	http://www.wikidata.org/entity/Q158274	Kadaň	city in the Ústí nad Labem Region of the Czech Republic	Point(13.271397346 50.376085535)			3074020			n95076717					150257263		https://en.wikipedia.org/wiki/Kada%C5%88
118777	http://www.wikidata.org/entity/Q103188063	Okarben (Samian Ware Discovery Site)	Okarben as Samian Ware discovery site	Point(8.75 50.25)													
118779	http://www.wikidata.org/entity/Q494305	Kelheim	city in Bavaria, Germany	Point(11.866666666 48.916666666)			6558243			n83052531					145452837		https://en.wikipedia.org/wiki/Kelheim
118783	http://www.wikidata.org/entity/Q505068	Kleinlangheim	market municipality of Germany	Point(10.266666666 49.766666666)			6558704	4005771		n94007854					139196859,135022554		https://en.wikipedia.org/wiki/Kleinlangheim
118784	http://www.wikidata.org/entity/Q2718777	Kleinzerbst	human settlement in Germany	Point(12.055833333 51.814166666)													
118785	http://www.wikidata.org/entity/Q72387	Kněževes	village in Žďár nad Sázavou District of Vysočina region	Point(15.980851329 49.456519789)			3073540										https://en.wikipedia.org/wiki/Kn%C4%9B%C5%BEeves_(%C5%BD%C4%8F%C3%A1r_nad_S%C3%A1zavou_District)
118787	http://www.wikidata.org/entity/Q470369	Kolín	town in the Czech Republic	Point(15.200633745 50.02819399)			3073371			n81077039					158285972		https://en.wikipedia.org/wiki/Kol%C3%ADn
118793	http://www.wikidata.org/entity/Q155975	Kutná Hora	municipality in the Czech Republic	Point(15.268225887 49.948444972)			3072463	7011655		n84224807					153661033		https://en.wikipedia.org/wiki/Kutn%C3%A1_Hora
118794	http://www.wikidata.org/entity/Q18590893	Kyjice	railway station in Vrskmaň, Czech Republic	Point(13.4853 50.51)													
118800	http://www.wikidata.org/entity/Q574207	Lauchheim	municipality in Baden-Württemberg, Germany	Point(10.244444444 48.871666666)			6558027							20070	247670558		https://en.wikipedia.org/wiki/Lauchheim
118802	http://www.wikidata.org/entity/Q103161387	Enns (Samian Ware Discovery Site)	Enns as Samian Ware discovery site	Point(14.466667 48.216667)													
118803	http://www.wikidata.org/entity/Q940178	Castra Lentia	Roman fort	Point(14.2906 48.3031)													
118804	http://www.wikidata.org/entity/Q505191	Leuna	municipality in Saxony-Anhalt state, Germany	Point(12.016666666 51.316666666)			6550907			n80160449					126673518		https://en.wikipedia.org/wiki/Leuna
118807	http://www.wikidata.org/entity/Q504898	Liebersee	human settlement in Germany	Point(13.1647611 51.4644172)			2877925		2044324						144209426		
118808	http://www.wikidata.org/entity/Q384403	Litoměřice	municipality in the Ústí nad Labem region in the Czech Republic	Point(14.131899491 50.533559476)			3071677	7011695		n83006459					158309037		https://en.wikipedia.org/wiki/Litom%C4%9B%C5%99ice
118813	http://www.wikidata.org/entity/Q103171526	Ladenburg (Samian Ware Discovery Site)	Ladenburg as Samian Ware discovery site	Point(8.606944 49.474998)													
118813	http://www.wikidata.org/entity/Q83225	Ladenburg	town in Baden-Württemberg, Germany	Point(8.609166666 49.471944444)			6558055	4006030	2046091	n83052535				26919	151306314		https://en.wikipedia.org/wiki/Ladenburg
118814	http://www.wikidata.org/entity/Q1433981	Castra of Lorch	Roman fort	Point(9.68855 48.7981)		1976	8504461									4424	
118815	http://www.wikidata.org/entity/Q103185973	Munningen (Samian Ware Discovery Site)	Munningen as Samian Ware discovery site	Point(10.6 48.916667)										28190			
118815	http://www.wikidata.org/entity/Q505766	Munningen	municipality of Germany	Point(10.583333333 48.916666666)		8102	6557293	7133576		n2007079958				28190	234702676		https://en.wikipedia.org/wiki/Munningen
118828	http://www.wikidata.org/entity/Q1751613	Maiersch	locality and cadastral community in Horn District	Point(15.6891 48.5768)		34021	2772091								141962296		
118829	http://www.wikidata.org/entity/Q81038	Mainhardt	municipality in Germany	Point(9.55 49.083333333)			6555550	1040223	2046184						248625110		https://en.wikipedia.org/wiki/Mainhardt
118831	http://www.wikidata.org/entity/Q209851	Marcomanni	historical Germanic group	Point(15.029922222 50.074752777)						sh85081025							https://en.wikipedia.org/wiki/Marcomanni
118834	http://www.wikidata.org/entity/Q1901952	Marköbel	human settlement in Germany	Point(8.98528 50.2219)				7130839							144391991		
