pleiades,item,itemLabel,chronique_ids,dare_ids,geonames_ids,gettytgn_ids,idaigaz_ids,loc_ids,manto_ids,nomisma_ids,topostext_ids,trismegistos_ids,viaf_ids,vici_ids,wikipedia_en
383624,http://www.wikidata.org/entity/Q1674456,Isola Comacina,,16558,3178243,7052535,,sh00005348,,,,45932,,,https://en.wikipedia.org/wiki/Isola_Comacina
138484,http://www.wikidata.org/entity/Q1172328,Neuvy-sur-Barangeon,,,6428237,1034658,,n98017256,,,,,152622183,,https://en.wikipedia.org/wiki/Neuvy-sur-Barangeon
501409,http://www.wikidata.org/entity/Q3719711,Edonis,,,,,,,9612993,,408238UEdo,,,,https://en.wikipedia.org/wiki/Edonis_(region)
20469,http://www.wikidata.org/entity/Q1693,North Sea,,,2960848,7015931,2044250,sh85092528,,,,,244973726,,https://en.wikipedia.org/wiki/North_Sea
118815,http://www.wikidata.org/entity/Q103185973,Munningen (Samian Ware Discovery Site),,,,,,,,,,28190,,,
187583,http://www.wikidata.org/entity/Q697154,Teurnia,,10670,2763771,,,,,,468134UTeu,28432,,,https://en.wikipedia.org/wiki/Teurnia
432876,http://www.wikidata.org/entity/Q3952643,Scoglio di Rovigliano,,41387,,,,,,,,,,,
857207,http://www.wikidata.org/entity/Q65070153,Heracleium,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Heracleium_(Pontus)
408816215,http://www.wikidata.org/entity/Q87263156,Madonna dell'Olivo (Tuscania),,,,,,,,,,,,,
590012,http://www.wikidata.org/entity/Q614741,Despotiko,,41357,263165,7233921,,,,,370250IPre,,305330580,,https://en.wikipedia.org/wiki/Despotiko
857317,http://www.wikidata.org/entity/Q19275597,Bolaman Çayı,,,750527,,,,,,,,315164367,,
432679,http://www.wikidata.org/entity/Q3618727,Antinum,,,,,,,,,,14428,,,
622606468,http://www.wikidata.org/entity/Q550578,Via Praenestina,,,,,,,,,,30626,316405330,,https://en.wikipedia.org/wiki/Via_Praenestina
797229144,http://www.wikidata.org/entity/Q287779,Lisht,,,"360848,360847",7001451,,,,,,4996,,,https://en.wikipedia.org/wiki/Lisht
6525101,http://www.wikidata.org/entity/Q923376,Broch of Mousa,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Broch_of_Mousa
187578,http://www.wikidata.org/entity/Q11951603,Tergeste,,,,,,,,,456138UTer,,316395071,,
30207,http://www.wikidata.org/entity/Q108774401,Aradarum,,,,,,,,,,41663,,,
570391,http://www.wikidata.org/entity/Q1232572,Mount Kyllini,,41404,259812,,,,9613774,,379224LKyl,,,,https://en.wikipedia.org/wiki/Mount_Kyllini
570380,http://www.wikidata.org/entity/Q124657249,Kraneion,,,,,,,,,379229SKra,,,44668,
446511868,http://www.wikidata.org/entity/Q2223625,Tumulus of Havelange,,,,,,,,,,,,,
707551,http://www.wikidata.org/entity/Q959369,Cape Kormakitis,,41341,146441,,,,,,354329LKro,,,,https://en.wikipedia.org/wiki/Cape_Kormakitis
138497,http://www.wikidata.org/entity/Q184159,Niort,,,2990355,,,n81081144,,,,,143077518,,https://en.wikipedia.org/wiki/Niort
991900272,http://www.wikidata.org/entity/Q27961117,Villa dei Casoni,,,,,,,,,,,,,
480057748,http://www.wikidata.org/entity/Q25110440,San Giovanni de Butris,,,,,,,,,,,,,"https://en.wikipedia.org/wiki/San_Giovanni_de_Butris,_Acquasparta"
79417,http://www.wikidata.org/entity/Q616149,Demetae,,,,,,,,,,19000,,,https://en.wikipedia.org/wiki/Demetae
206962,http://www.wikidata.org/entity/Q12081199,Batoți,,,685257,,,,,,,,,,
413148,http://www.wikidata.org/entity/Q5473073,Forum Novum,,,11847731,,,,,,,,241247668,,https://en.wikipedia.org/wiki/Forum_Novum
687584524,http://www.wikidata.org/entity/Q25410534,Nuraghe Sa Domu 'e s'Orcu,,,,,,,,,,,,,
442810,http://www.wikidata.org/entity/Q3981082,Taras,,16562,,,,,10272458,,405172PTar,,,,"https://en.wikipedia.org/wiki/Taras,_Italy"
226777,http://www.wikidata.org/entity/Q532838,Perekop,,,697729,,,,,,461337UTap,,,,https://en.wikipedia.org/wiki/Perekop
540870,http://www.wikidata.org/entity/Q21060918,Cnemides,,34356,,,,,,,388228FKne,,,,https://en.wikipedia.org/wiki/Cnemides
628959,http://www.wikidata.org/entity/Q952748,Comana,,21240,,,,,,,383363UCom,,,,https://en.wikipedia.org/wiki/Comana_(Cappadocia)
197575,http://www.wikidata.org/entity/Q775393,Karlobag,,13868,3198261,1065045,,,,,,,247397748,,https://en.wikipedia.org/wiki/Karlobag
403262,http://www.wikidata.org/entity/Q10351991,"Portovenere, Cinque Terre, and the Islands (Palmaria, Tino and Tinetto)",,,,,,,,,,,,,
123625165,http://www.wikidata.org/entity/Q3801615,Hypogeum of via Livenza,,,,,,,,,,,259237662,,
721417202,http://www.wikidata.org/entity/Q134140,Temples of Abu Simbel,,37047,362040,7001444,,,,,,33,,21196,https://en.wikipedia.org/wiki/Abu_Simbel
589715,http://www.wikidata.org/entity/Q65121662,Astale,,28764,,,,,,,354248UAst,,,,https://en.wikipedia.org/wiki/Astale
619252,http://www.wikidata.org/entity/Q85799236,Salamboreia,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Salamboreia
521093,http://www.wikidata.org/entity/Q65046273,Nausikleia,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Nausikleia
108889,http://www.wikidata.org/entity/Q1220713,La Cheppe,,2131,6456178,,,,,,,,8351147967375684200007,,https://en.wikipedia.org/wiki/La_Cheppe
501456,http://www.wikidata.org/entity/Q21080095,Kafkanas,,,735850,,,,,,,,,,https://en.wikipedia.org/wiki/Kafkanas
936028071,http://www.wikidata.org/entity/Q118469355,"Wall0001, Synagogue, Dura-Europos",,,,,,,,,,,,,
207091,http://www.wikidata.org/entity/Q16507792,Stanoc i Poshtëm,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Stanoc_i_Posht%C3%ABm
393381,http://www.wikidata.org/entity/Q3627543,Astico,,44038,,,,,,,,,240087572,,
844853,http://www.wikidata.org/entity/Q65047065,Aiginetes,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Aiginetes
109045,http://www.wikidata.org/entity/Q2217385,ancient Roman watchtower Heumensoord,,2086,,,,,,,,,,96,
573257,http://www.wikidata.org/entity/Q125966733,Hypereia,,,,,,,10194327,,,,,,
206899,http://www.wikidata.org/entity/Q4699436,Castra Aizis,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Aizis_(castra)
118657,http://www.wikidata.org/entity/Q567565,Echzell,,,6553206,,,n82088755,,,,27865,127864685,,https://en.wikipedia.org/wiki/Echzell
560899635,http://www.wikidata.org/entity/Q27070453,House of Vetutius Placidus (secondary entrance I.8.9),,,,,,,,,,,,,
267702570,http://www.wikidata.org/entity/Q1586946,Basilica of Saints John and Paul on the Caelian Hill,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Santi_Giovanni_e_Paolo_al_Celio
520988,http://www.wikidata.org/entity/Q337381,Chalcedon,,16677,744906,,,n91101062,,,410290PCha,,"315533490,133831168",,https://en.wikipedia.org/wiki/Chalcedon
108816,http://www.wikidata.org/entity/Q103148886,Bliesbruck (Samian Ware Discovery Site),,,,,,,,,,,,,
921321518,http://www.wikidata.org/entity/Q17662632,Callow Hill Roman villa,,,,,,,,,,,,,
541053,http://www.wikidata.org/entity/Q1247052,Phylace,,29443,,,,,8228889,,393228PPhy,,,,https://en.wikipedia.org/wiki/Phylace_(Thessaly)
383785,http://www.wikidata.org/entity/Q472813,Stura di Lanzo,,44069,3166061,,,,,,,,,,https://en.wikipedia.org/wiki/Stura_di_Lanzo
268786,http://www.wikidata.org/entity/Q1128365,Consuegra Dam,,40584,,,,,,,,,,,https://en.wikipedia.org/wiki/Consuegra_Dam
344531,http://www.wikidata.org/entity/Q106300352,Villa Repentina,,,,,,,,,,,,,
658457,http://www.wikidata.org/entity/Q133118,Şanlıurfa,,21816,298333,,,n88118501,,,,11275,133797710,,https://en.wikipedia.org/wiki/Urfa
540779,http://www.wikidata.org/entity/Q16331185,Titnata fortress,,29342,,,,,,,399224UEud,,,,
818918654,http://www.wikidata.org/entity/Q82073668,Ain Dara Temple,,,,,,,,,,,,,
876938769,http://www.wikidata.org/entity/Q48606691,Longola,,,,,,,,,,,105144647637258301826,,
167785,http://www.wikidata.org/entity/Q2280296,Graioceli,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Graioceli
570359,http://www.wikidata.org/entity/Q2537130,Kleitor,,21919,,,,,10146606,,379221PKle,,,,https://en.wikipedia.org/wiki/Cleitor
60058,http://www.wikidata.org/entity/Q486244,Sogdia,,,,,2379315,,,sogdiana,,,,,https://en.wikipedia.org/wiki/Sogdia
423080,http://www.wikidata.org/entity/Q13712,Tiber,,,3165709,,,sh85135212,,,419125WTib,43199,316430945,,https://en.wikipedia.org/wiki/Tiber
197244,http://www.wikidata.org/entity/Q1255537,Delminium,,13898,,,,,,,,,,,https://en.wikipedia.org/wiki/Delminium
432820,http://www.wikidata.org/entity/Q729764,Mount Epomeo,,,3177376,,,,,,,,,,https://en.wikipedia.org/wiki/Mount_Epomeo
149683041,http://www.wikidata.org/entity/Q1817134,Giants of Mont'e Prama,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Giants_of_Mont%27e_Prama
638758,http://www.wikidata.org/entity/Q1856209,Sozopolis,,21535,,,,,,,,,,,https://en.wikipedia.org/wiki/Sozopolis_(Pisidia)
79588,http://www.wikidata.org/entity/Q17647592,Minor Romano British villa 100m south east of Magor Farm,,,,,,,,,,,,,
256429,http://www.wikidata.org/entity/Q10375914,Povoado fortificado e Santuário de Endovélico,,,,,,,,,,,,,
285433,http://www.wikidata.org/entity/Q3023970,Derrag,,,2500506,,,,,,,,,,https://en.wikipedia.org/wiki/Derrag
660349527,http://www.wikidata.org/entity/Q56398333,Early Christian Basilica of Lechaeum,,,12032014,,,,,,379229ELec,,,33363,
169128,http://www.wikidata.org/entity/Q3397584,Viviers Roman bridge,,38487,,,,,,,,,,10263,
603144223,http://www.wikidata.org/entity/Q127271546,Temple of Athena Apaturia,,,,,,,11289334,,,,,,
614234198,http://www.wikidata.org/entity/Q2023885,Arch of Campanus,,44317,,,,,,,,,235252239,,https://en.wikipedia.org/wiki/Arch_of_Campanus
599677,http://www.wikidata.org/entity/Q65070184,Kadyie,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Kadyie
423011,http://www.wikidata.org/entity/Q943224,Ponte Salario,,26908,,,,,,,,,,12025,https://en.wikipedia.org/wiki/Ponte_Salario
550906,http://www.wikidata.org/entity/Q85805272,Tateikome,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Tateikome
414499,http://www.wikidata.org/entity/Q118145821,Ponte Romito,,,,,,,,,,,,58810,
394869,http://www.wikidata.org/entity/Q124528663,Ponte di San Vito,,,,,,,,,,,,,https://en.wikipedia.org/wiki/Ponte_di_San_Vito
573350,http://www.wikidata.org/entity/Q15205042,Lymax,,,,,,,10215382,,,,,,
383801,http://www.wikidata.org/entity/Q651732,Regio XI Transpadana,,,,,,,,,,33156,241855098,,
128409,http://www.wikidata.org/entity/Q1746877,Kleinkastell Höflein,,14193,,,,,,,,,,7270,
